@RELATION detection
@ATTRIBUTE area NUMERIC
@ATTRIBUTE min_axis NUMERIC
@ATTRIBUTE max_axis NUMERIC
@ATTRIBUTE intensity NUMERIC
@ATTRIBUTE rel_mean_depth NUMERIC
@ATTRIBUTE rel_max_depth NUMERIC
@ATTRIBUTE valid_depth_readings NUMERIC
@ATTRIBUTE class {M20_horizontal, R20_horizontal, F20_20_G_horizontal, F20_20_B_horizontal, V20_horizontal, M20_100_horizontal, S40_40_G_horizontal, S40_40_B_horizontal, M30_horizontal}
@DATA
867.5,29.0688837075,37.0540146273,85.7322654462,0.00293570979448,0.0146738880883,317,M20_horizontal
895.5,30.2654919008,37.483329628,84.5185995624,-0.00014741285266,0.0023980432389,132,M20_horizontal
859.0,32.0,33.0,78.3958810069,0.000641660645153,0.00304166406393,165,M20_horizontal
845.0,28.1780056072,36.6742416418,70.2369668246,0.000805704839518,0.00205665697654,259,M20_horizontal
845.5,30.0,34.0,77.5674418605,-0.000181302250055,0.000211145527459,265,M20_horizontal
848.5,32.0,33.0,81.3333333333,0.000101233368279,0.00115498324235,279,M20_horizontal
852.5,28.4429253067,36.6742416418,79.4545454545,0.000268675764139,0.0023700278004,227,M20_horizontal
841.0,27.1661554144,37.2155881319,100.933014354,-1.65095485625e-05,0.00364332556725,244,M20_horizontal
881.5,31.0,36.0,98.2058823529,0.00132566790088,0.00360228759902,94,M20_horizontal
869.0,29.4278779391,36.4965751818,93.1757990868,-1.58580521338e-05,0.00088979235213,106,M20_horizontal
859.0,29.0,36.0,93.9702517162,0.000356489174659,0.0030633554856,307,M20_horizontal
859.5,28.8617393793,37.1079506306,68.9860465116,0.000719905240723,0.00324834687145,246,M20_horizontal
848.5,30.0,35.0,79.9528301887,-8.31334982089e-05,0.0127750085791,289,M20_horizontal
863.0,31.0,34.0,77.8127853881,0.000935879557225,0.00431714711973,160,M20_horizontal
876.5,32.0,34.0,79.0540540541,0.000915995492869,0.00389800730504,167,M20_horizontal
886.0,30.2654919008,37.3363094052,85.2556053812,0.000570609950028,0.00306004924434,237,M20_horizontal
832.5,29.0,35.0,72.0072115385,-0.000834926138037,0.0028513600496,255,M20_horizontal
820.5,29.0,35.0,79.0222772277,-0.000392769575352,0.00527026081407,276,M20_horizontal
858.0,29.0,36.0,101.705747126,0.000186668535074,0.00440166314443,200,M20_horizontal
894.0,32.0,35.0,81.6747252747,0.000789140201519,0.0029545460235,133,M20_horizontal
857.5,32.0,34.0,81.1448598131,-0.000165686320499,0.00288817943319,260,M20_horizontal
857.0,31.0,34.0,80.7384259259,-0.000193896398604,0.00309668620427,265,M20_horizontal
836.5,30.0,34.0,79.2056737589,0.00172767053529,0.0160794207776,290,M20_horizontal
861.0,30.0,35.0,95.0022779043,0.00409655104423,0.017116685907,348,M20_horizontal
862.5,31.0,35.0,80.5674418605,-0.000415074130155,0.00717601366341,291,M20_horizontal
837.0,30.0,34.0,72.8341232227,-0.000123236318004,0.00174490855755,311,M20_horizontal
879.0,31.0,35.0,102.944320713,0.000426118054182,0.00232564677533,219,M20_horizontal
